p1,p2,ibd1
AMJI031334,SEBI1548,0.187
AMJI031334,SEBI1549,0.235
AMJI031334,SEBI1550,0.569
AMJI031334,SEBI1551,0.378
AMJI031334,SEBI1552,0.33
AMJI031334,SEBI1553,0.378
AMJI031334,SEBI1554,0.235
AMJI031334,SEBI1555,0.187
AMJI031334,SEBI1556,0.187
AMJI031334,SEBI1557,0
AMJI031334,SEBI1558,0.139
AMJI031334,SEBI1559,0.474
AMJI031334,SEBI1560,0.187
AMJI031334,SEBI1561,0.378
AMJI031334,SEBI1562,0.139
AMJI031334,SEBI1563,0
AMJI031334,SEBI1564,0.235
AMJI031334,SEBI1565,0.282
AMJI031334,SEBI1566,0.33
AMJI031334,SEBI1567,0.378
AMJI031334,SEBI1568,0.235
AMJI031334,SEBI1569,0.33
AMJI031334,SEBI1570,0
AMJI031334,SEBI1571,0.33
AMJI031334,SEBI1572,0.282
AMJI031334,SEBI1573,0.282
AMJI031334,SEBI1574,0.091
AMJI031334,SEBI1575,0.187
AMJI031334,SEBI1576,0
AMJI031334,SEBI1577,0.139
AMJI031334,SEBI1578,0.139
AMJI031334,SEBI1579,0.426
AMJI031334,SEBI1580,0.426
AMJI031334,SEBI1581,0.282
AMJI031334,SEBI1582,0.426
AMJI031334,SEBI1583,0.282
AMJI031334,SEBI1584,0.282
AMJI031334,SEBI1585,0.187
AMJI031334,SEBI1586,0.235
AMJI031334,SEBI1587,0.426
AMJI031334,SEBI1588,0.282
AMJI031334,SEBI1589,0.33
AMJI031334,SEBI1590,0.33
AMJI031334,SEBI1591,0.33
AMJI031334,SEBI1592,0.426
AMJI031334,Phem4,0
AMJI031334,Phem5,0
AMJI031334,Phem6,0.091
AMJI031334,Phem7,0.091
AMJI031334,AMAN030929,0.474
AMJI031334,AMAN030930,0
AMJI031334,AMAN030931,0.282
AMJI031334,AMAN030932,0.378
AMJI031334,AMAN030933,0.426
AMJI031334,AMAN030934,0.426
AMJI031334,AMAN030935,0
AMJI031334,AMAN030936,0
AMJI031334,AMAN030937,0.426
AMJI031334,AMAN030938,0.043
AMJI031334,AMAN030939,0.187
AMJI031334,AMAN030940,0.139
AMJI031334,AMAN030941,0
AMJI031334,AMAN030942,0
AMJI031334,AMAN030943,0.091
AMJI031334,AMAN030944,0.235
AMJI031334,AMAN030945,0.235
AMJI031334,AMAN030946,0.235
AMJI031334,AMAN030947,0.187
AMJI031334,AMAN030948,0.043
AMJI031334,AMAN030949,0.043
AMJI031334,AMAN030950,0.091
AMJI031334,AMAN030951,0.043
AMJI031334,AMAN030952,0.043
AMJI031334,AMAN030953,0.474
AMJI031334,AMAN030954,0
AMJI031334,AMAN030955,0
AMJI031334,AMAN030956,0
AMJI031334,AMAN030957,0
AMJI031334,AMAN030958,0
AMJI031334,AMAN030959,0
AMJI031334,AMAN030960,0
AMJI031334,AMAN030961,0.282
AMJI031334,AMAN030962,0
AMJI031334,AMAN030963,0
AMJI031334,AMAN030964,0.043
AMJI031334,AMAN030965,0
AMJI031334,AMAN030966,0.235
AMJI031334,AMAN030967,0.139
AMJI031334,AMAN030968,0.139
AMJI031334,AMAN030969,0.139
AMJI031334,AMAN030970,0
AMJI031334,AMAN030971,0.139
AMJI031334,AMAN030972,0
AMJI031334,AMAN030973,0
AMJI031334,AMAN030974,0
AMJI031334,AMAN030975,0
AMJI031334,AMAN030976,0.043
AMJI031334,AMAN030977,0.091
AMJI031334,AMAN030978,0
AMJI031334,AMAN030979,0
AMJI031334,AMAN030980,0
AMJI031334,AMAN030981,0
AMJI031334,AMAN030982,0
AMJI031334,AMAN030983,0
AMJI031334,AMAN030984,0.139
AMJI031334,AMAN030985,0.187
AMJI031334,AMAN030986,0.139
AMJI031334,AMAN030987,0.139
AMJI031334,AMAN030988,0.139
AMJI031334,AMAN030989,0.139
AMJI031334,AMAN030990,0.139
AMJI031334,AMAN030991,0.139
AMJI031334,AMAN030992,0.139
AMJI031334,AMAN030993,0.139
AMJI031334,AMAN030994,0.043
AMJI031334,AMAN030995,0
AMJI031334,AMAN030996,0.043
AMJI031334,AMAN030997,0.043
AMJI031334,AMAN030998,0.187
AMJI031334,AMAN030999,0.043
AMJI031334,AMAN031000,0.043
AMJI031334,AMAN031001,0.043
AMJI031334,AMAN031002,0.091
AMJI031334,AMAN031003,0.043
AMJI031334,AMAN031004,0.139
AMJI031334,AMAN031005,0.139
AMJI031334,AMAN031006,0
AMJI031334,AMAN031007,0.139
AMJI031334,AMAN031008,0.139
AMJI031334,AMAN031009,0.139
AMJI031334,AMAN031010,0.139
AMJI031334,AMAN031011,0.139
AMJI031334,AMAN031012,0.091
AMJI031334,AMAN031013,0.139
AMJI031334,AMAN031014,0.139
AMJI031334,AMAN031015,0.139
AMJI031334,AMAN031016,0.139
AMJI031334,AMAN031017,0.139
AMJI031334,AMAN031018,0.187
AMJI031334,AMAN031019,0
AMJI031334,AMAN031020,0
AMJI031334,Phem1,0.139
AMJI031334,Phem2,0.426
AMJI031334,Phem3,0.187
AMJI031335,AMJI031336,0.091
AMJI031335,AMJI031337,0.33
AMJI031335,AMJI031338,0
AMJI031335,AMJI031339,0.139
AMJI031335,AMJI031340,0.235
AMJI031335,AMJI031341,0.043
AMJI031335,AMJI031342,0.235
AMJI031335,AMJI031343,0.235
AMJI031335,AMJI031344,0
AMJI031335,AFWO3422,0.282
AMJI031335,AFWO3423,0.235
AMJI031335,AFWO3424,0.378
AMJI031335,AFWO3425,0.139
AMJI031335,AFWO3426,0.33
AMJI031335,AFWO3427,0.043
AMJI031335,AFWO3428,0
AMJI031335,AFWO3429,0.043
AMJI031335,AFWO3430,0.091
AMJI031335,AFWO3431,0.235
AMJI031335,AFWO3432,0.187
AMJI031335,AFWO3433,0.043
AMJI031335,AFWO3434,0.282
AMJI031335,AFWO3435,0.474
AMJI031335,AFWO3436,0.33
AMJI031335,AFWO3437,0
AMJI031335,AFWO3438,0
AMJI031335,AFWO3439,0.139
AMJI031335,AFWO3440,0.091
AMJI031335,AFWO3441,0.139
AMJI031335,AFWO3442,0.139
AMJI031335,AFWO3443,0.139
AMJI031335,AFWO3444,0
AMJI031335,AMHA1701,0
AMJI031335,AMHA1702,0.091
AMJI031335,AMHA1703,0
AMJI031335,AMHA1704,0
AMJI031335,AMHA1705,0
AMJI031335,AMHA1706,0
AMJI031335,AMHA1707,0.091
