"p1","p2","ibd1"
"TGYE3710","SEBI1585",0
"TGYE3710","SEBI1584",0
"TGYE3710","SEBI1583",0
"TGYE3710","SEBI1582",0
"TGYE3710","SEBI1581",0
"TGYE3710","SEBI1580",0
"TGYE3710","SEBI1579",0
"TGYE3710","SEBI1578",0
"TGYE3710","SEBI1577",0
"TGYE3710","SEBI1576",0
"TGYE3710","SEBI1575",0
"TGYE3710","SEBI1574",0
"TGYE3710","SEBI1573",0
"TGYE3710","SEBI1572",0
"TGYE3710","SEBI1571",0
"TGYE3710","SEBI1570",0
"TGYE3710","SEBI1569",0
"TGYE3710","SEBI1568",0
"TGYE3710","SEBI1567",0
"TGYE3710","SEBI1566",0
"TGYE3710","SEBI1565",0
"TGYE3710","SEBI1564",0
"TGYE3710","SEBI1563",0
"TGYE3710","SEBI1562",0
"TGYE3710","SEBI1561",0
"TGYE3710","SEBI1560",0
"TGYE3710","SEBI1559",0
"TGYE3710","SEBI1558",0
"TGYE3710","SEBI1557",0
"TGYE3710","SEBI1556",0
"TGYE3710","SEBI1555",0
"TGYE3710","SEBI1554",0
"TGYE3710","SEBI1553",0
"TGYE3710","SEBI1552",0
"TGYE3710","SEBI1551",0
"TGYE3710","SEBI1550",0
"TGYE3710","SEBI1549",0
"TGYE3710","SEBI1548",0
"TGYE3710","SEBI1547",0
"TGYE3710","SEBI1546",0
"TGYE3710","SEBI1545",0
"TGYE3710","SEBI1544",0
"TGYE3710","SEBI1543",0
"TGYE3710","SEBI1542",0
"TGYE3710","SEBI1541",0
"TGYE3710","SEBI1540",0
"TGYE3710","SEBI1539",0
"TGYE3710","SEBI1538",0
"TGYE3710","SEBI1537",0
"TGYE3710","SEBI1536",0
"TGYE3710","SEBI1535",0
"TGYE3710","SEBI1534",0
"TGYE3710","SEBI1533",0
"TGYE3710","SEBI1532",0
"TGYE3710","SEBI1531",0
"TGYE3710","SEBI1530",0
"TGYE3710","SEBI1529",0
"TGYE3710","SEBI1528",0
"TGYE3710","SEBI1527",0
"TGYE3710","SEBI1526",0
"TGYE3710","SEBI1525",0
"TGYE3710","SEBI1524",0
"TGYE3710","SEBI1523",0
"TGYE3710","SEBI1522",0
"TGYE3710","SEBI1521",0
"TGYE3710","SEBI1520",0
"TGYE3710","SEBI1519",0
"TGYE3710","SEBI1518",0
"TGYE3710","SEBI1517",0
"TGYE3710","SEBI1516",0
"TGYE3710","SEBI1515",0
"TGYE3710","SEBI1514",0
"TGYE3710","SEBI1513",0
"TGYE3710","SEBI1512",0
"TGYE3710","SEBI1511",0
"TGYE3710","SEBI1510",0
"TGYE3710","SEBI1509",0
"TGYE3710","SEBI1508",0
"TGYE3710","SEBI1507",0.004
"TGYE3710","SEBI1506",0
"TGYE3710","SEBI1505",0
"TGYE3710","SEBI1504",0
"TGYE3710","SEBI1503",0
"TGYE3710","SEBI1502",0
"TGYE3710","SEBI1501",0
"TGYE3710","GAAB2312",0.004
"TGYE3710","GAAB2311",0
"TGYE3710","GAAB2310",0
"TGYE3710","GAAB2309",0.004
"TGYE3710","GAAB2308",0
"TGYE3710","GAAB2307",0
"TGYE3710","GAAB2306",0
"TGYE3710","GAAB2305",0
"TGYE3710","GAAB2304",0
"TGYE3710","GAAB2303",0
"TGYE3710","GAAB2302",0
"TGYE3710","GAAB2301",0
"TGYE3710","DILE6100",0
"TGYE3710","DILE6099",0
"TGYE3710","DILE6098",0
"TGYE3710","DILE6097",0
"TGYE3710","DILE6096",0
"TGYE3710","DILE6095",0
"TGYE3710","DILE6094",0.004
"TGYE3710","DILE6093",0
"TGYE3710","DILE6092",0
"TGYE3710","DILE6091",0
"TGYE3710","DILE6090",0
"TGYE3710","DILE6089",0
"TGYE3710","DILE6088",0
"TGYE3710","DILE6087",0
"TGYE3710","DILE6086",0
"TGYE3710","DILE6085",0
"TGYE3710","DILE6084",0
"TGYE3710","DILE6083",0
"TGYE3710","DILE6082",0
"TGYE3710","DILE6081",0
"TGYE3710","DILE6080",0
"TGYE3710","DILE6079",0
"TGYE3710","DILE6078",0.004
"TGYE3710","DILE6076",0
"TGYE3710","DILE6074",0
"TGYE3710","DILE6073",0
"TGYE3710","DILE6072",0
"TGYE3710","DILE6071",0
"TGYE3710","AMWO031587",0
"TGYE3710","AMWO031586",0
"TGYE3710","AMWO031585",0
"TGYE3710","AMWO031584",0
"TGYE3710","AMWO031583",0
"TGYE3710","AMWO031582",0
"TGYE3710","AMJI031344",0
"TGYE3710","AMJI031343",0
"TGYE3710","AMJI031342",0
"TGYE3710","AMJI031341",0
"TGYE3710","AMJI031340",0
"TGYE3710","AMJI031339",0
"TGYE3710","AMJI031338",0
"TGYE3710","AMJI031337",0
"TGYE3710","AMJI031336",0
"TGYE3710","AMJI031335",0
"TGYE3710","AMJI031334",0
"TGYE3710","AMHA4857",0
"TGYE3710","AMHA4856",0
"TGYE3710","AMHA4855",0.052
"TGYE3710","AMHA4854",0
"TGYE3710","AMHA4853",0
"TGYE3710","AMHA485",0
"TGYE3710","AMHA1708",0
"TGYE3710","AMHA1707",0
"TGYE3710","AMHA1706",0
"TGYE3710","AMHA1705",0
"TGYE3710","AMHA1704",0.431
"TGYE3710","AMHA1703",0
"TGYE3710","AMHA1702",0
"TGYE3710","AMHA1701",0
"TGYE3710","AMAN031020",0
"TGYE3710","AMAN031019",0
"TGYE3710","AMAN031018",0
"TGYE3710","AMAN031017",0
"TGYE3710","AMAN031016",0
"TGYE3710","AMAN031015",0
"TGYE3710","AMAN031014",0
"TGYE3710","AMAN031013",0
"TGYE3710","AMAN031012",0
"TGYE3710","AMAN031011",0
"TGYE3710","AMAN031010",0
"TGYE3710","AMAN031009",0
"TGYE3710","AMAN031008",0
"TGYE3710","AMAN031007",0
"TGYE3710","AMAN031006",0
"TGYE3710","AMAN031005",0
"TGYE3710","AMAN031004",0
"TGYE3710","AMAN031003",0
"TGYE3710","AMAN031002",0
"TGYE3710","AMAN031001",0
"TGYE3710","AMAN031000",0
"TGYE3710","AMAN030999",0
"TGYE3710","AMAN030998",0
"TGYE3710","AMAN030997",0
"TGYE3710","AMAN030996",0
"TGYE3710","AMAN030995",0
"TGYE3710","AMAN030994",0
"TGYE3710","AMAN030993",0
"TGYE3710","AMAN030992",0
"TGYE3710","AMAN030991",0
"TGYE3710","AMAN030990",0
"TGYE3710","AMAN030989",0
"TGYE3710","AMAN030988",0
"TGYE3710","AMAN030987",0
"TGYE3710","AMAN030986",0
"TGYE3710","AMAN030985",0
"TGYE3710","AMAN030984",0
"TGYE3710","AMAN030983",0
"TGYE3710","AMAN030982",0
"TGYE3710","AMAN030981",0
"TGYE3710","AMAN030980",0
"TGYE3710","AMAN030979",0
"TGYE3710","AMAN030978",0
"TGYE3710","AMAN030977",0
"TGYE3710","AMAN030976",0
"TGYE3710","AMAN030975",0
"TGYE3710","AMAN030974",0
"TGYE3710","AMAN030973",0
"TGYE3710","AMAN030972",0
"TGYE3710","AMAN030971",0
"TGYE3710","AMAN030970",0.052
"TGYE3710","AMAN030969",0
"TGYE3710","AMAN030968",0
"TGYE3710","AMAN030967",0
"TGYE3710","AMAN030966",0
"TGYE3710","AMAN030965",0
"TGYE3710","AMAN030964",0
"TGYE3710","AMAN030963",0
"TGYE3710","AMAN030962",0
"TGYE3710","AMAN030961",0
"TGYE3710","AMAN030960",0
"TGYE3710","AMAN030959",0
"TGYE3710","AMAN030958",0
"TGYE3710","AMAN030957",0
"TGYE3710","AMAN030956",0
"TGYE3710","AMAN030955",0
"TGYE3710","AMAN030954",0
"TGYE3710","AMAN030953",0
"TGYE3710","AMAN030952",0
"TGYE3710","AMAN030951",0
"TGYE3710","AMAN030950",0
"TGYE3710","AMAN030949",0
"TGYE3710","AMAN030948",0
"TGYE3710","AMAN030947",0
"TGYE3710","AMAN030946",0
"TGYE3710","AMAN030945",0
"TGYE3710","AMAN030944",0
"TGYE3710","AMAN030943",0.099
"TGYE3710","AMAN030942",0
"TGYE3710","AMAN030941",0
"TGYE3710","AMAN030940",0
"TGYE3710","AMAN030939",0
"TGYE3710","AMAN030938",0
"TGYE3710","AMAN030937",0
"TGYE3710","AMAN030936",0
"TGYE3710","AMAN030935",0
"TGYE3710","AMAN030934",0
"TGYE3710","AMAN030933",0
"TGYE3710","AMAN030932",0.004
"TGYE3710","AMAN030931",0
"TGYE3710","AMAN030930",0
"TGYE3710","AMAN030929",0
"TGYE3710","AFWO3444",0
"TGYE3710","AFWO3443",0
"TGYE3710","AFWO3442",0
"TGYE3710","AFWO3441",0
"TGYE3710","AFWO3440",0
"TGYE3710","AFWO3439",0
"TGYE3710","AFWO3438",0
"TGYE3710","AFWO3437",0
"TGYE3710","AFWO3436",0
